               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.094969,             0.18142,            0.039735,           0.0036863,              0.1585,           0.0054788,           0.0013495,            0.086239,             0.11573,             0.04105,            0.009307,            0.009307,            0.009307
                  37,            0.093996,             0.19005,            0.039981,            0.044012,             0.19713,            0.026578,           0.0060161,            0.086686,             0.11464,            0.040558,           0.0092872,           0.0092872,           0.0092872
                  38,            0.092477,              0.1743,            0.039694,            0.038242,               0.187,            0.023614,           0.0033186,            0.086903,             0.11458,            0.040686,           0.0092674,           0.0092674,           0.0092674
                  39,            0.093973,              0.1802,            0.039712,            0.025592,             0.19204,             0.01859,           0.0038381,            0.086968,             0.11517,            0.040507,           0.0092476,           0.0092476,           0.0092476
                  40,            0.094093,             0.16834,             0.03951,            0.017057,             0.16576,             0.01393,           0.0030097,            0.087013,             0.11539,            0.040554,           0.0092278,           0.0092278,           0.0092278
                  41,            0.095641,             0.16163,            0.039132,            0.011632,             0.16291,            0.010658,           0.0021268,            0.086337,              0.1166,            0.040149,            0.009208,            0.009208,            0.009208
                  42,            0.092198,             0.16288,            0.039916,            0.013249,             0.16361,            0.012645,            0.002959,            0.085921,             0.11601,            0.040424,           0.0091882,           0.0091882,           0.0091882
                  43,            0.092589,             0.17288,            0.038457,            0.019746,              0.2045,            0.017476,           0.0039619,            0.085906,             0.11672,            0.039915,           0.0091684,           0.0091684,           0.0091684
                  44,            0.092251,             0.16861,            0.039271,            0.014602,              0.2494,            0.018093,           0.0044373,            0.087965,             0.11631,              0.0395,           0.0091486,           0.0091486,           0.0091486
                  45,            0.094835,             0.18387,            0.038093,           0.0096306,             0.22159,            0.010588,           0.0026706,            0.093831,             0.10985,            0.039701,           0.0091288,           0.0091288,           0.0091288
                  46,            0.093095,             0.15709,             0.03888,           0.0088206,             0.19556,           0.0080729,           0.0018481,            0.098401,             0.11273,            0.040762,            0.009109,            0.009109,            0.009109
                  47,            0.092596,              0.1753,            0.038538,           0.0080697,             0.20478,            0.010272,           0.0024988,            0.097223,             0.11271,            0.040126,           0.0090892,           0.0090892,           0.0090892
                  48,             0.09126,             0.16298,            0.038457,            0.011004,             0.25232,            0.015335,           0.0036608,            0.091182,             0.11391,            0.038845,           0.0090694,           0.0090694,           0.0090694
                  49,            0.090475,             0.17033,            0.037671,             0.26063,            0.094961,            0.016651,           0.0042772,            0.087524,             0.11537,            0.038326,           0.0090496,           0.0090496,           0.0090496
                  50,            0.092187,             0.18099,            0.037852,             0.25727,             0.12209,            0.018043,           0.0046366,            0.086815,             0.11532,            0.038252,           0.0090298,           0.0090298,           0.0090298
                  51,            0.090935,             0.15771,            0.037886,             0.26023,             0.12016,            0.021453,           0.0050587,            0.085828,             0.11554,            0.038064,             0.00901,             0.00901,             0.00901
                  52,            0.090765,             0.15821,            0.037886,             0.25989,             0.12597,            0.021324,           0.0051263,            0.085734,             0.11521,            0.038014,           0.0089902,           0.0089902,           0.0089902
                  53,            0.091691,             0.16784,            0.037405,            0.014283,             0.28764,            0.024828,           0.0052706,            0.086611,             0.11462,            0.038149,           0.0089704,           0.0089704,           0.0089704
                  54,            0.089854,             0.17456,            0.037987,            0.014686,             0.28654,            0.019605,           0.0046275,            0.087982,             0.11425,            0.038375,           0.0089506,           0.0089506,           0.0089506
                  55,            0.088937,             0.15429,            0.038443,           0.0097655,             0.24555,            0.012971,           0.0033122,            0.090555,             0.11227,            0.039193,           0.0089308,           0.0089308,           0.0089308
                  56,            0.092593,             0.19091,            0.036789,             0.01168,             0.27634,            0.018322,           0.0038521,            0.088788,             0.11138,            0.038304,            0.008911,            0.008911,            0.008911
                  57,              0.0902,             0.16968,            0.036327,            0.013196,             0.28414,            0.026578,           0.0058887,            0.086048,             0.11243,            0.038073,           0.0088912,           0.0088912,           0.0088912
