               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10826,             0.14443,            0.044787,                   0,                   0,                   0,                   0,             0.10685,            0.098346,            0.043729,              0.0856,              0.0016,              0.0016
                   1,             0.10627,             0.14888,            0.044453,                   0,                   0,                   0,                   0,             0.10576,            0.099886,            0.043686,            0.070293,           0.0032935,           0.0032935
                   2,             0.10601,             0.15588,            0.044324,                   0,                   0,                   0,                   0,             0.10451,             0.10157,            0.043644,             0.05498,           0.0049802,           0.0049802
                   3,             0.10381,             0.14271,            0.044155,                   0,                   0,                   0,                   0,             0.10386,             0.10241,            0.043623,             0.03966,           0.0066602,           0.0066602
                   4,             0.10266,             0.14676,            0.043926,                   0,                   0,                   0,                   0,             0.10328,             0.10317,            0.043604,            0.024333,           0.0083335,           0.0083335
